county_name,municipality_name,property_location,deed_date,Year,Quarter, sale_price ,Price_Range,sale_assessment,Sale_Range,residential,Treated,Time,Interaction,Time_Placebo,Interaction_Placebo
ATLANTIC,Longport Borough,3502 MONMOUTH AVE,8/30/10,2010,2010-Q3,1,0,457100,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,112 NO 36TH AVE,7/1/10,2010,2010-Q3,1,0,622500,1,1,0.73,0,0,0,0
ATLANTIC,Corbin City,431 AETNA DRIVE,9/21/10,2010,2010-Q3,1,0,40300,0,1,0.73,0,0,0,0
ATLANTIC,Corbin City,111 GRISCOM MILL ROAD,9/9/10,2010,2010-Q3,1,0,221400,1,1,0.73,0,0,0,0
ATLANTIC,Corbin City,415-417 HARDING LANE,9/13/10,2010,2010-Q3,169000,1,115200,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,2 WARWICK AVE,9/30/10,2010,2010-Q3,725000,1,323000,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,209 W MEYRAN AVE,7/9/10,2010,2010-Q3,1,0,113600,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,221 W DAWES AVE,7/30/10,2010,2010-Q3,137000,1,110500,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,59 CHAPMAN BLVD,7/27/10,2010,2010-Q3,1,0,125000,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,7 W CEDAR AVE,7/19/10,2010,2010-Q3,229000,1,81200,0,1,0.73,0,0,0,0
ATLANTIC,Somers Point,423 BAY AVE,7/26/10,2010,2010-Q3,169000,1,78700,0,1,0.73,0,0,0,0
ATLANTIC,Somers Point,24 W MARYLAND AVE,7/1/10,2010,2010-Q3,1,0,107000,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,501 FIRST ST,9/17/10,2010,2010-Q3,1,0,113900,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,813 HARBOUR COVE,9/14/10,2010,2010-Q3,1,0,90200,0,1,0.73,0,0,0,0
ATLANTIC,Somers Point,1808 PLEASANT AVE,7/2/10,2010,2010-Q3,850000,1,370300,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,HARBOUR VIEW 537A-1ST FL,9/13/10,2010,2010-Q3,1,0,82900,0,1,0.73,0,0,0,0
ATLANTIC,Somers Point,HARBOUR VIEW 533C-2ND FL,9/17/10,2010,2010-Q3,160000,1,90000,0,1,0.73,0,0,0,0
ATLANTIC,Somers Point,1412 MASSACHUSETTS AVE,9/16/10,2010,2010-Q3,218000,1,111900,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,515 W CONNECTICUT AVE,9/14/10,2010,2010-Q3,1,0,132400,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,3 PRINCETON RD,7/30/10,2010,2010-Q3,186500,1,111000,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,29 LEHIGH DR,9/8/10,2010,2010-Q3,1,0,140500,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,175 BALA DR,8/3/10,2010,2010-Q3,1,0,97300,0,1,0.73,0,0,0,0
ATLANTIC,Somers Point,752 SIXTH ST,9/29/10,2010,2010-Q3,158000,1,130700,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,71 W LAUREL DR,8/9/10,2010,2010-Q3,1,0,125000,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,8 VILLAGE DR,8/25/10,2010,2010-Q3,313000,1,125600,1,1,0.73,0,0,0,0
ATLANTIC,Somers Point,5 WISTERIA WALK,7/28/10,2010,2010-Q3,1,0,112100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,102 S BRUNSWICK AVE,7/29/10,2010,2010-Q3,1,0,3511400,0,1,0.73,0,0,0,0
ATLANTIC,Margate City,111 S EXETER AVE,9/17/10,2010,2010-Q3,1,0,1161500,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,109 S GRANVILLE AVE,9/29/10,2010,2010-Q3,2482500,0,2073500,0,1,0.73,0,0,0,0
ATLANTIC,Margate City,102 S IROQUOIS AVE,8/13/10,2010,2010-Q3,1,0,1290100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,110 S IROQUOIS AVE,9/20/10,2010,2010-Q3,1675000,1,1493200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9010 ATLANTIC AVE,8/27/10,2010,2010-Q3,225000,1,217500,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9100 BEACH,8/4/10,2010,2010-Q3,1,0,462900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9400 ATLANTIC AVE,8/10/10,2010,2010-Q3,1,0,194900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9400 ATLANTIC AVE,8/12/10,2010,2010-Q3,137000,1,208900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9506 ATLANTIC AVE,8/24/10,2010,2010-Q3,990000,1,872700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9504 ATLANTIC AVE,9/2/10,2010,2010-Q3,970000,1,872700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9502 ATLANTIC AVE,7/16/10,2010,2010-Q3,990000,1,872700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9517 BEACH,9/23/10,2010,2010-Q3,1700000,1,1876100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9505 ATLANTIC AVE,8/31/10,2010,2010-Q3,462500,1,468900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9600 ATLANTIC AVE,8/2/10,2010,2010-Q3,175900,1,355700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9600 ATLANTIC AVE,7/23/10,2010,2010-Q3,350000,1,365700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9600 ATLANTIC AVE,9/30/10,2010,2010-Q3,450000,1,385700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,3 S BRUNSWICK AVE,7/19/10,2010,2010-Q3,189000,1,775600,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,7605 ATLANTIC AVE,7/30/10,2010,2010-Q3,701000,1,671100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,1 S MANSFIELD AVE,9/22/10,2010,2010-Q3,1,0,1037400,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,12 S SUMNER AVE,7/31/10,2010,2010-Q3,1215000,1,850600,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,28 S BENSON AVE,7/30/10,2010,2010-Q3,610000,1,454300,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,22 S WASHINGTON AVE,8/6/10,2010,2010-Q3,293650,1,251500,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,22 S WASHINGTON AVE,9/17/10,2010,2010-Q3,315000,1,261500,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,22 S ADAMS AVE,7/23/10,2010,2010-Q3,530000,1,0,0,1,0.73,0,0,0,0
ATLANTIC,Margate City,5 WEST DRIVE,9/14/10,2010,2010-Q3,587500,1,518400,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,27 N DELAVAN AVE,7/1/10,2010,2010-Q3,445000,1,386300,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,23 N HUNTINGTON AVE,7/21/10,2010,2010-Q3,1,0,435300,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,30 N HAVERFORD AVE,7/9/10,2010,2010-Q3,526750,1,402100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,31 N HANOVER AVE,9/21/10,2010,2010-Q3,269000,1,352000,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,17 N NASSAU AVE,9/21/10,2010,2010-Q3,660000,1,590100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,10 N OSBORNE AVE,7/16/10,2010,2010-Q3,665000,1,504200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,9404 WINCHESTER AVE,8/4/10,2010,2010-Q3,590000,1,0,0,1,0.73,0,0,0,0
ATLANTIC,Margate City,9711 VENTNOR AVE,8/31/10,2010,2010-Q3,325000,1,294200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,7401A WINCHESTER AVE,7/15/10,2010,2010-Q3,782000,1,654300,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,110 N FREDERICKSBURG AVE,9/30/10,2010,2010-Q3,345000,1,349400,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,106 N BARCLAY AVE,8/6/10,2010,2010-Q3,730000,1,647200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,114 N BRUNSWICK AVE,8/19/10,2010,2010-Q3,475000,1,353600,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,121 N GLADSTONE AVE,9/24/10,2010,2010-Q3,1,0,320900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,113 N NASSAU AVE,8/10/10,2010,2010-Q3,1,0,474600,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,8607 WINCHESTER AVE,7/22/10,2010,2010-Q3,940000,1,724400,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,115 N SUMNER AVE,7/21/10,2010,2010-Q3,440000,1,357800,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,116 N HARDING AVE,9/30/10,2010,2010-Q3,210000,1,219900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,120 N JEFFERSON AVE,7/30/10,2010,2010-Q3,295000,1,380500,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,215 N ESSEX AVE,8/5/10,2010,2010-Q3,1,0,254400,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,217 N HANOVER AVE,7/15/10,2010,2010-Q3,204000,1,285700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,211 N HANOVER AVE,7/12/10,2010,2010-Q3,1,0,299000,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,202 N SUMNER AVE,8/4/10,2010,2010-Q3,1,0,338100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,214 N DECATUR AVE,9/17/10,2010,2010-Q3,599999,1,436900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,211 N COOLIDGE AVE,9/10/10,2010,2010-Q3,1,0,274200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,303 N ARGYLE AVE,8/20/10,2010,2010-Q3,250000,1,321200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,227 N CLARENDON AVE,7/14/10,2010,2010-Q3,382000,1,319700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,301 N CLERMONT AVE,9/15/10,2010,2010-Q3,365000,1,324200,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,404 N CLERMONT AVE,7/19/10,2010,2010-Q3,340000,1,390300,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,411 N ESSEX AVE,8/20/10,2010,2010-Q3,387000,1,366800,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,400 N ESSEX AVE,7/9/10,2010,2010-Q3,435000,1,381700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,2 E GILMAR CIRCLE,7/30/10,2010,2010-Q3,260000,1,320900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,10 E GILMAR CIRCLE,8/13/10,2010,2010-Q3,1,0,315000,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,27 SEASIDE COURT,9/24/10,2010,2010-Q3,450000,1,460000,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,406 N LANCASTER AVE,9/10/10,2010,2010-Q3,1,0,410900,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,501 N DELAVAN AVE,9/21/10,2010,2010-Q3,485000,1,434800,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,7607 BURK AVE,8/11/10,2010,2010-Q3,1,0,603100,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,7910 BAYSHORE DR,7/30/10,2010,2010-Q3,1,0,958700,1,1,0.73,0,0,0,0
ATLANTIC,Margate City,8213 BAYSHORE DR WEST,9/28/10,2010,2010-Q3,975000,1,1140000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,4800 BOARDWALK,7/16/10,2010,2010-Q3,375000,1,484400,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,107 S AUSTIN AVE,8/18/10,2010,2010-Q3,3,0,679000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5000 BOARDWALK,9/21/10,2010,2010-Q3,225000,1,367200,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5000 BOARDWALK,9/24/10,2010,2010-Q3,1,0,320700,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5000 BOARDWALK,7/16/10,2010,2010-Q3,12500,0,20000,0,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5200 BOARDWALK,9/7/10,2010,2010-Q3,1,0,437900,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,109 S VICTORIA AVE,7/31/10,2010,2010-Q3,150000,1,216300,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,6100 BOARDWALK,9/30/10,2010,2010-Q3,135000,1,166500,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,114 S STRATFORD AVE,7/29/10,2010,2010-Q3,1,0,2914900,0,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,111 S BUFFALO AVE,8/25/10,2010,2010-Q3,525000,1,449300,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,109 S PHILADELPHIA AVE,9/15/10,2010,2010-Q3,1,0,1736800,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5003 ATLANTIC AVE C03,8/27/10,2010,2010-Q3,100000,1,346400,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,6 S CAMBRIDGE AVE,9/8/10,2010,2010-Q3,400000,1,578500,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,6207 OCEAN AVE,8/30/10,2010,2010-Q3,625000,1,675000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,18 S RICHARDS AVE,7/21/10,2010,2010-Q3,565625,1,478800,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5207A WINCHESTER AVE,8/16/10,2010,2010-Q3,285000,1,249900,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5307 VENTNOR AVE,9/10/10,2010,2010-Q3,1,0,375100,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,"5 N NEW HAVEN AVE, C2A",7/14/10,2010,2010-Q3,0,0,236100,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,21 N BUFFALO AVE,7/12/10,2010,2010-Q3,1,0,274400,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,4 N SWARTHMORE AVE,9/15/10,2010,2010-Q3,425000,1,364000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,5600 MONMOUTH AVE,7/14/10,2010,2010-Q3,125000,1,253100,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,6101 MONMOUTH AVE,7/30/10,2010,2010-Q3,145000,1,190600,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,114 N CORNWALL AVE,8/14/10,2010,2010-Q3,1,0,252900,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,127 N WISSAHICKON AVE,7/2/10,2010,2010-Q3,245000,1,262500,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,203 N ROSBOROUGH AVE,9/24/10,2010,2010-Q3,402000,1,412500,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,109 N LAFAYETTE AVE,9/14/10,2010,2010-Q3,242000,1,242000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,112 N MELBOURNE AVE,7/29/10,2010,2010-Q3,317000,1,330000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,102 N SWARTHMORE AVE,7/8/10,2010,2010-Q3,215000,1,342400,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,106 N WASHINGTON AVE,8/30/10,2010,2010-Q3,415000,1,403900,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,212 N SUFFOLK AVE,9/14/10,2010,2010-Q3,135000,1,213600,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,307 N CORNWALL AVE,9/9/10,2010,2010-Q3,1,0,245100,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,316 N CORNWALL AVE,9/20/10,2010,2010-Q3,1,0,269600,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,204 N SWARTHMORE AVE,7/20/10,2010,2010-Q3,1,0,348900,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,406 N SURREY AVE,9/30/10,2010,2010-Q3,330000,1,258300,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,417 N DORSET AVE,7/9/10,2010,2010-Q3,0,0,204900,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,419 N DORSET AVE,7/9/10,2010,2010-Q3,0,0,205700,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,412 N CORNWALL AVE,7/15/10,2010,2010-Q3,165000,1,292400,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,415 N HARVARD AVE,7/2/10,2010,2010-Q3,375000,1,269000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,323 N LAFAYETTE AVE,8/27/10,2010,2010-Q3,1,0,0,0,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,414 BERKSHIRE DRIVE,7/29/10,2010,2010-Q3,225000,1,220000,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,503 N SUFFOLK AVE,9/22/10,2010,2010-Q3,1,0,323200,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,601-B N VICTORIA AVENUE,8/23/10,2010,2010-Q3,175000,1,165400,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,605 N SURREY AVE,9/30/10,2010,2010-Q3,1,0,254500,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,722 N VICTORIA AVE,7/15/10,2010,2010-Q3,250000,1,211800,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,715 N SOMERSET AVE,8/20/10,2010,2010-Q3,55000,0,137700,1,1,0.73,0,0,0,0
ATLANTIC,Ventnor City,1801 EAST DRIVE,9/16/10,2010,2010-Q3,350000,1,550000,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,534 W OCEAN HTGS AVE,7/28/10,2010,2010-Q3,130000,1,193600,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,11 E OCEAN HEIGHTS AVE,7/8/10,2010,2010-Q3,163000,1,163300,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,304 W FOREST DR,8/23/10,2010,2010-Q3,1,0,231800,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,1700 WOODE-LYNNE BLVD,9/14/10,2010,2010-Q3,1,0,311700,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,110 E CAMBRIDGE AVE,8/9/10,2010,2010-Q3,292500,1,243200,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,11 E ESSEX AVE,8/31/10,2010,2010-Q3,275000,1,177000,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,500 W PIERCE AVE,7/9/10,2010,2010-Q3,190000,1,219100,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,543 W BARR AVE,9/23/10,2010,2010-Q3,1,0,178800,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,1 SANDY COURT,8/31/10,2010,2010-Q3,270000,1,230400,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,801 LINCOLN AVE,7/1/10,2010,2010-Q3,1,0,223900,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,I-11 ADAMS CT,7/29/10,2010,2010-Q3,1,0,127900,1,1,0.73,0,0,0,0
ATLANTIC,Linwood,307 SHORE ROAD,7/29/10,2010,2010-Q3,140000,1,126600,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,3015 CEDARBRIDGE RD,9/21/10,2010,2010-Q3,227500,1,258200,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,2504 HELEN DR EAST,9/15/10,2010,2010-Q3,178000,1,193200,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,1911 ZION RD,9/9/10,2010,2010-Q3,1,0,456600,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,12 ATRIUM CT,8/31/10,2010,2010-Q3,379000,1,375000,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,607 ROOSEVELT AVE,7/8/10,2010,2010-Q3,197000,1,158700,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,523 SPRUCE AVE,9/3/10,2010,2010-Q3,1,0,222700,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,810 MAPLE AVE,8/30/10,2010,2010-Q3,204000,1,205200,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,525 BURTON AVE,9/2/10,2010,2010-Q3,1,0,203000,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,114 W ROSEDALE AVE,8/19/10,2010,2010-Q3,225000,1,221000,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,2320 CEDARBRIDGE RD,8/26/10,2010,2010-Q3,267000,1,251900,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,116 NORTHFIELD AVE,9/17/10,2010,2010-Q3,1,0,264500,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,400 MT VERNON AVE,9/26/10,2010,2010-Q3,1,0,199800,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,409 JACKSON AVE,7/9/10,2010,2010-Q3,155000,1,144200,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,408 SECOND ST,9/9/10,2010,2010-Q3,1,0,219700,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,807 BROAD ST,8/20/10,2010,2010-Q3,222000,1,244000,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,24 FRANKLIN AVE,9/23/10,2010,2010-Q3,120120,1,176900,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,1304 DOLPHIN AVE,9/28/10,2010,2010-Q3,95000,0,109200,1,1,0.73,0,0,0,0
ATLANTIC,Northfield,4309 DOLPHIN AVE,7/15/10,2010,2010-Q3,104950,1,109200,1,1,0.73,0,0,0,0
ATLANTIC,Atlantic City,101 S PLAZA 501,9/1/10,2010,2010-Q3,186000,1,225000,1,1,0.73,0,0,0,0
ATLANTIC,Atlantic City,101 S PLAZA 1201,7/6/10,2010,2010-Q3,1,0,280000,1,1,0.73,0,0,0,0
ATLANTIC,Atlantic City,100 S BERKLEY 14C,9/21/10,2010,2010-Q3,208750,1,310100,1,1,0.73,0,0,0,0
ATLANTIC,Atlantic City,100 S BERKLEY PH1F,7/19/10,2010,2010-Q3,1,0,530700,1,1,0.73,0,0,0,0
ATLANTIC,Atlantic City,101 S RALEIGH 316,7/26/10,2010,2010-Q3,1,0,165000,1,1,0.73,0,0,0,0
SUSSEX,Byram Township,10 ROBERT ST,9/14/10,2010,2010-Q3,325000,1,313800,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,16 BROOKWOOD RD,7/9/10,2010,2010-Q3,1,0,286300,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,1 TROUT BROOK RD,8/24/10,2010,2010-Q3,1,0,241400,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,16 HAWTHORNE TR,9/1/10,2010,2010-Q3,390000,1,289900,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,WEAVER HOUSE RD,8/16/10,2010,2010-Q3,279000,1,302900,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,9 BALD ROCK TR,8/16/10,2010,2010-Q3,380000,1,431500,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,1 HIGH-TO-GA TR,9/1/10,2010,2010-Q3,1,0,96600,0,1,0.05,0,0,0,0
SUSSEX,Byram Township,9 LAUREL COVE RD,7/12/10,2010,2010-Q3,0,0,223400,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,8 SAUGTAUG TR,7/7/10,2010,2010-Q3,1,0,157800,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,LAKE SHORE DR,7/19/10,2010,2010-Q3,1,0,6200,0,1,0.05,0,0,0,0
SUSSEX,Byram Township,123 SOUTH SHORE RD,7/19/10,2010,2010-Q3,1,0,230500,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,3 C O DR,9/17/10,2010,2010-Q3,235000,1,315700,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,23 TAMARACK RD,8/24/10,2010,2010-Q3,1,0,285100,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,81 LAKE DR,7/30/10,2010,2010-Q3,399000,1,376100,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,194 LAKE DR,9/30/10,2010,2010-Q3,189000,1,243200,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,5 CRESCENT DR NO,7/27/10,2010,2010-Q3,1,0,316400,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,68 LEE HILL RD,7/27/10,2010,2010-Q3,1,0,277400,1,1,0.05,0,0,0,0
SUSSEX,Byram Township,1 BRAEMAR CT,9/17/10,2010,2010-Q3,1,0,345300,1,1,0.05,0,0,0,0
